MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_diet	ATTRIBUTE_sample_phase
MSV000086988	NIST_NEG_Samp_17-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_17-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_17-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_18-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_18-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_18-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	QC_Mix_01.mzML	QC	QC	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	QC_Mix_02.mzML	QC	QC	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	QC_Mix_03.mzML	QC	QC	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	QC_Mix_04.mzML	QC	QC	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
