filename	SampleTypeSub1	UBERONBodyPartName	MassiveID	SampleType	NCBITaxonomy
P5_B8_G96266.mzML	food_source_animal		MSV000096584	food	9913|Bos taurus
P5_B9_G96267.mzML	food_source_animal		MSV000096584	food	9913|Bos taurus
P5_B10_G96268.mzML	food_source_animal		MSV000096584	food	9913|Bos taurus
P5_B11_G96269.mzML	food_source_animal		MSV000096584	food	NA|x
P5_D10_G96270.mzML	food_source_animal		MSV000096584	food	NA|x
P5_E11_G96423.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_E9_G96426.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_F2_G96453.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_G7_G96454.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_F3_G96469.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_E10_G96474.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_E12_G96645.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_E8_G96703.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P5_G6_G96717.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
J121.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
J122.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
J109.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
J116.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
G72514.mzML	food_source_plant	root	MSV000096584	food	136217|Curcuma longa
F_A2.mzML	food_source_plant	root	MSV000096584	food	161934|x
F_A5.mzML	food_source_plant	bulb	MSV000096584	food	4682|Allium sativum
F_C9.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
F_B6.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
F_C1.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
F_C6.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
F_A9.mzML	food_source_plant	leaf	MSV000096584	food	38868|Salvia officinalis
J113.mzML	food_source_plant	seed	MSV000096584	food	105181|Elettaria cardamomum
F_C2.mzML	food_source_plant	tuber	MSV000096584	food	4113|Solanum tuberosum
F_A3.mzML	food_source_plant	fruit	MSV000096584	food	4081|Solanum lycopersicum
G72453.mzML	food_source_plant	seed	MSV000096584	food	4530|Oryza sativa
G75069.mzML	food_source_plant	leaf	MSV000096584	food	4047|Coriandrum sativum
F_A8.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
F_D1.mzML	food_source_animal		MSV000096584	food	NA|x
G75093.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
F_C4.mzML	food_source_plant	leaf	MSV000096584	food	29727|x
G75086.mzML	food_source_fungi		MSV000096584	food	5341|Agaricus bisporus
F_B1.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
F_B9.mzML	food_source_animal		MSV000096584	food	NA|x
G75072.mzML	food_source_plant	fruit	MSV000096584	food	42229|Prunus avium
F_C3.mzML	food_source_plant	seed	MSV000096584	food	NA|x
G72504.mzML	food_source_plant	fruit	MSV000096584	food	3494|x
F_B3.mzML	food_source_plant	fruit	MSV000096584	food	4081|Solanum lycopersicum
J114.mzML	food_source_plant	leaf	MSV000096584	food	85223|Laurus nobilis
F_B4.mzML	food_source_animal		MSV000096584	food	NA|x
G75092.mzML	food_source_plant	flower	MSV000096584	food	4498|x
F_C5.mzML	food_source_fungi		MSV000096584	food	5341|Agaricus bisporus
F_B7.mzML	food_source_plant	flower	MSV000096584	food	36774|Brassica oleracea var. italica
F_C8.mzML	food_source_plant	fruit	MSV000096584	food	3747|Fragaria x ananassa
J129.mzML	food_source_animal	egg cell	MSV000096584	food	9031|Gallus gallus
J131.mzML	food_source_animal	egg cell	MSV000096584	food	9031|Gallus gallus
F_A6.mzML	food_source_fungi		MSV000096584	food	5322|Pleurotus ostreatus
F_A7.mzML	food_source_plant	root	MSV000096584	food	4039|Daucus carota
G75070.mzML	food_source_plant	fruit	MSV000096584	food	381124|Zea mays subsp. mays
F_B5.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
F_C7.mzML	food_source_plant	fruit	MSV000096584	food	23216|Rubus
J136.mzML	food_source_animal		MSV000096584	food	NA|x
J141.mzML	food_source_animal		MSV000096584	food	NA|x
G87513.mzML	food_source_plant		MSV000096584	food	NA|x
F_B2.mzML	food_source_plant	fruit	MSV000096584	food	13749|Vaccinium
G87510.mzML	food_source_plant		MSV000096584	food	NA|x
F_A1.mzML	food_source_plant	fruit	MSV000096584	food	23211|Pyrus communis
G73730.mzML	food_source_plant	fruit	MSV000096584	food	29780|Mangifera indica
J110.mzML	food_source_plant	seed	MSV000096584	food	4498|x
J132.mzML	food_source_animal		MSV000096584	food	NA|x
J133.mzML	food_source_animal		MSV000096584	food	NA|x
G72452.mzML	food_source_plant	fruit	MSV000096584	food	16718|x
G86947.mzML	food_source_plant		MSV000096584	food	NA|x
F_A4.mzML	food_source_plant	tuber	MSV000096584	food	4113|Solanum tuberosum
G72508.mzML	food_source_plant	seed	MSV000096584	food	NA|x
J120.mzML	food_source_animal	milk	MSV000096584	food	3755|x
J134.mzML	food_source_animal		MSV000096584	food	8023|Oncorhynchus nerka
J135.mzML	food_source_animal		MSV000096584	food	8023|Oncorhynchus nerka
J139.mzML	food_source_animal		MSV000096584	food	8023|Oncorhynchus nerka
J140.mzML	food_source_animal		MSV000096584	food	8023|Oncorhynchus nerka
