MassiveID	filename	SampleType	SampleTypeSub1	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	sample_code_rosetta	ATTRIBUTE_STATION	ATTRIBUTE_DEPTH	ATTRIBUTE_temp	ATTRIBUTE_sal	ATTRIBUTE_Sbeox0Mg/L	ATTRIBUTE_par	ATTRIBUTE_par1	ATTRIBUTE_spar	ATTRIBUTE_fl-eco-afl	ATTRIBUTE_turb	ATTRIBUTE_CStarTr0.(%)	ATTRIBUTE_Leu_ratio	ATTRIBUTE_leu.ratio.st.des	ATTRIBUTE_LONGHURST	ATTRIBUTE_LONGHURST_name
MSV000096004	AN1WDOC_PPL_030S_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/28/2020 09.00	not applicable	not applicable	3.83|-29.86	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST11_SURF	ST11	surf	27.92995	35.41465	6.253864	65.56064	62.78127	105.8045	0.079545	0.2166	98.36604	18.40342	4.318957	WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_031_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/28/2020 09.00	not applicable	not applicable	3.83|-29.86	-77.0	not specified	not specified	not applicable	not applicable	AN1_ST11_DCM	ST11	DCM	25.5737	36.32763	5.2962	1.7385	1.4176	82.55856	0.526044	0.212689	98.05491	5.199814	2.736694	WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_032_NEG_blk.mzML	blank_analysis	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/28/2020 09.00	not applicable	not applicable	3.83|-29.86		not specified	not specified	not applicable	not applicable	AN1_ST11_BLK	ST11	blk												WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_032S_NEG_blk.mzML	blank_analysis	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/28/2020 09.00	not applicable	not applicable	3.83|-29.86		not specified	not specified	not applicable	not applicable	AN1_ST11_BLK	ST11	blk												WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_033_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/29/2020 09.00	not applicable	not applicable	0.14|-30.5	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST12_SURF	ST12	surf	27.04079	36.30173	6.242422	332.3444	244.9489	166.2756	0.217356	0.206378	98.20368	5.654036	1.97605	WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_034_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/29/2020 09.00	not applicable	not applicable	0.14|-30.5	-48.0	not specified	not specified	not applicable	not applicable	AN1_ST12_DCM	ST12	DCM	26.45322	36.25945	6.11134	18.4009	13.221	153.439	0.76738	0.2213	97.5869	6.193276	1.498283	WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_035_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/29/2020 09.00	not applicable	not applicable	0.14|-30.5	-78.0	not specified	not specified	not applicable	not applicable	AN1_ST12_DEEP1	ST12	1%PAR	22.28089	36.11756	4.705389	9.380633	7.6518	930.2189	0.241511	0.208933	98.21979			WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_036_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/29/2020 09.00	not applicable	not applicable	0.14|-30.5	-400.0	not specified	not specified	not applicable	not applicable	AN1_ST12_DEEP3	ST12	depth1	8.437422	34.73436	4.181456	0.078411	0.000486	2161.144	-0.30004	0.183944	98.97321			WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_037_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/30/2020 09.00	not applicable	not applicable	0.14|-30.5	-2000.0	not specified	not specified	not applicable	not applicable	AN1_ST12_DEEP4	ST12	depth2	3.608211	34.96061	7.847722	0.078411	0.000479	1770.211	-0.04724	0.190078	99.15964			WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_038_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/31/2020 09.00	not applicable	not applicable	-2.98|-30.93	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST13_SURF	ST13	surf	26.94436	36.23996	6.324364	616.235	502.1493	240.4243	0.032779	0.213514	98.32616	16.29241	2.220012	SATL	South Atlantic
